StudentProfileId,SchCd,StaffID,Score,CompetencyLevel
5151,501749,1261961,0.633333333,Learner
67594,211172,1773508,0.666666667,Skilled
155301,213256,1012791,0.8,Skilled
208326,219801,1125694,0.766666667,Skilled
226077,221701,1738317,0.766666667,Skilled
277364,211890,1137740,0.233333333,Beginner
339894,212920,1025260,0.633333333,Learner
590564,219388,1184230,0.5,Learner
591439,216322,1158289,0.133333333,Beginner
615051,224846,1215368,0.266666667,Beginner
652483,217544,1071940,0.766666667,Skilled
673591,212725,1685441,0.333333333,Beginner
685189,217553,1743387,0.466666667,Learner
829510,221575,1751823,0.833333333,Expert
836932,212746,1094242,0.333333333,Beginner
891970,223745,1179120,0.9,Expert
899131,214758,1258648,0.2,Beginner
899688,214758,1258648,0.5,Learner
910722,211746,1698772,0.666666667,Skilled
924425,211771,1251471,0.633333333,Learner
925100,482645,1003138,0.866666667,Expert
928034,215123,1758250,0.733333333,Skilled
1048484,215058,1071624,0.4,Beginner
1103148,217545,1788069,0.7,Skilled
1141476,216495,1032585,0.4,Beginner
1216016,212070,1786347,0.2,Beginner
1226420,213746,1252022,0.4,Beginner
1309227,221183,1227082,0.166666667,Beginner
1343078,221363,1000995,0.366666667,Beginner
1409084,223968,1677844,0.2,Beginner
1481333,217211,1082085,0.4,Beginner
1482835,217211,1082085,0.566666667,Learner
1524739,225204,1251046,0.6,Learner
1538115,513726,1723716,0.666666667,Skilled
1682606,222150,1716196,0.533333333,Learner
1720181,214402,1252698,0.3,Beginner
1786165,222150,1716196,0.633333333,Learner
1894536,215490,1036797,0.5,Learner
1971667,211767,1252154,0.633333333,Learner
1972928,214397,1035871,0.133333333,Beginner
2067917,219621,1774883,0.733333333,Skilled
2098424,224730,1184896,0.433333333,Learner
2111528,215079,1206630,0.233333333,Beginner
2124544,223717,1507502,0.5,Learner
2181499,211772,1172937,0.3,Beginner
2187237,219403,1259221,0.5,Learner
2239047,224706,1190304,0.8,Skilled
2493039,213621,1736979,0.4,Beginner
2555946,223932,1199441,0.133333333,Beginner
2574417,214569,1253135,0,Beginner
2665039,211862,1044571,0.166666667,Beginner
2716043,216013,1078351,0.6,Learner
2762462,223914,1772385,0.7,Skilled
2764915,223513,1088846,0.233333333,Beginner
2863927,217355,1195558,0.466666667,Learner
2892007,213654,1738025,0.266666667,Beginner
2896382,216946,1569391,0.2,Beginner
2955507,217524,1062126,0.4,Beginner
2984273,218640,1429043,0.466666667,Learner
3002608,213466,1005016,0.933333333,Expert
3027340,214078,1782667,0.366666667,Beginner
3084336,223375,1681901,0.2,Beginner
3120924,220819,1234783,0.3,Beginner
3212836,223420,1661644,0.133333333,Beginner
3293412,213779,1257965,0.766666667,Skilled
3381452,212344,1760063,0.233333333,Beginner
3381967,212344,1760063,0.1,Beginner
3382165,212344,1760063,0.066666667,Beginner
3382254,212344,1760063,0.2,Beginner
3382358,212344,1760063,0.2,Beginner
3382384,212344,1760063,0.2,Beginner
3484999,223612,1140414,0.566666667,Learner
3501446,214475,1254942,0.266666667,Beginner
3501837,214475,1254942,0.7,Skilled
3568313,220863,1100578,0.666666667,Skilled
3617225,221164,1745973,0.166666667,Beginner
3725591,219636,1233134,0.266666667,Beginner
3739881,519915,1147754,0.466666667,Learner
3887981,216245,1168113,0.7,Skilled
3909504,222971,1239291,0,Beginner
3930745,223080,1519820,0.633333333,Learner
3931377,223023,1506093,0.3,Beginner
3981614,219850,1145139,0.7,Skilled
4086046,223419,1094155,0.766666667,Skilled
4110549,214924,1156964,0.2,Beginner
4163595,225184,1238275,0.2,Beginner
4209707,220194,1391236,0.433333333,Learner
4214664,222618,1740297,0.3,Beginner
4223732,225053,1139701,0.266666667,Beginner
4346831,214906,1233553,0.633333333,Learner
4346844,223291,1257719,0.466666667,Learner
4370206,211677,1268823,0.566666667,Learner
4386118,211222,1058495,0.833333333,Expert
4396791,215514,1748995,0.166666667,Beginner
4398305,215514,1748995,0.166666667,Beginner
4399614,483439,1295333,0.433333333,Learner
4400421,215514,1748995,0.4,Beginner
4401827,212344,1760063,0.266666667,Beginner
4402380,214793,1745989,0.233333333,Beginner
4402384,214793,1745989,0.633333333,Learner
4405906,220337,1472137,0.266666667,Beginner
4405937,222102,1238935,0.066666667,Beginner
4413688,221965,1018454,0.566666667,Learner
4414241,222150,1716196,0.133333333,Beginner
4416622,213616,1646107,0.466666667,Learner
4417057,215293,1043961,0.466666667,Learner
4418402,220130,1716094,0.5,Learner
4420502,220008,1142587,0.133333333,Beginner
4423296,222150,1716196,0.7,Skilled
4427156,222187,1665243,0.333333333,Beginner
4427725,219560,1779046,0.233333333,Beginner
4428162,211101,1165351,0.633333333,Learner
4429053,215451,1051883,0.133333333,Beginner
4435578,215296,1090327,0.2,Beginner
4439034,212344,1760063,0.133333333,Beginner
4439249,224818,1776250,0.766666667,Skilled
4439369,212344,1760063,0.133333333,Beginner
4440392,220633,1251478,0.266666667,Beginner
4440810,215514,1748995,0.133333333,Beginner
4441024,211101,1165351,0.2,Beginner
4444149,220089,1536987,0.366666667,Beginner
4444834,217870,1238616,0.166666667,Beginner
4449564,214717,1001504,0.133333333,Beginner
4456194,221046,1022410,0.533333333,Learner
4462820,211817,1107239,0.366666667,Beginner
4466671,473531,1778551,0.433333333,Learner
4479033,223594,1179498,0.233333333,Beginner
4489682,505881,1194531,0.433333333,Learner
4490531,221196,1738187,0.233333333,Beginner
4524464,215345,1241784,0.7,Skilled
4524601,220054,1170222,0.466666667,Learner
4524642,220054,1170222,0.366666667,Beginner
4528347,221998,1683100,0.266666667,Beginner
4539408,214456,1252804,0.4,Beginner
4542386,220915,1113860,0.633333333,Learner
4547471,216983,1688646,0.333333333,Beginner
4555214,222618,1740297,0.566666667,Learner
4555274,222618,1740297,0.266666667,Beginner
4555353,222618,1740297,0.166666667,Beginner
4555580,224009,1773191,0.433333333,Learner
4555639,219635,1641344,0.566666667,Learner
4558003,422778,1718766,0.333333333,Beginner
4558537,222762,1263156,0.533333333,Learner
4561271,212287,1770289,0.766666667,Skilled
4562975,221441,1257001,0.6,Learner
4563265,221441,1257001,0.633333333,Learner
4564614,214098,1256780,0.433333333,Learner
4567558,212199,1057892,0.566666667,Learner
4568358,223945,1204410,0.733333333,Skilled
4570372,220293,1043593,0.5,Learner
4573324,213240,1736710,0.633333333,Learner
4579583,212155,1117686,0.133333333,Beginner
4588450,225049,1775931,0.7,Skilled
4588565,225293,1772391,0.566666667,Learner
4591596,402982,1341850,0.433333333,Learner
4596538,211790,1049603,0.766666667,Skilled
4603272,214263,1149043,0.833333333,Expert
4619552,221557,1736474,0.1,Beginner
4620235,213449,1128161,0.666666667,Skilled
4620293,213449,1128161,0.766666667,Skilled
4622263,223007,1123157,0.533333333,Learner
4622377,223007,1123157,0.566666667,Learner
4625441,212403,1673683,0.766666667,Skilled
4632545,214423,1782817,0.7,Skilled
4635160,211157,1002022,0.133333333,Beginner
4636066,212028,1170824,0.6,Learner
4636105,213709,1685521,0.466666667,Learner
4637691,217867,1107962,0.466666667,Learner
4640633,220451,1252673,0.233333333,Beginner
4644597,220575,1751808,0.833333333,Expert
4646083,214287,1120542,0.666666667,Skilled
4653124,466057,1007407,0.566666667,Learner
4656790,211825,1254824,0.633333333,Learner
4656857,211825,1254824,0,Beginner
4657277,216971,1000035,0.166666667,Beginner
4658054,211825,1254824,0.6,Learner
4658121,211825,1254824,0.583333333,Learner
4658147,211825,1254824,0.4,Beginner
4661128,217867,1107962,0.233333333,Beginner
4662735,519751,1754437,0.166666667,Beginner
4663096,213595,1233458,0.633333333,Learner
4664632,214913,1069746,0.433333333,Learner
4665745,217199,1078943,0.333333333,Beginner
4667281,217642,1085981,0.266666667,Beginner
4671325,214320,1061724,0.266666667,Beginner
4679088,221684,1758005,0.566666667,Learner
4679443,220154,1786713,0.666666667,Skilled
4684099,221769,1252871,0.766666667,Skilled
4692554,220108,1170436,0.233333333,Beginner
4696762,219034,1771105,0.166666667,Beginner
4702518,221532,1236598,0.033333333,Beginner
4703511,224194,1771679,0.3,Beginner
4704105,219825,1251715,0.766666667,Skilled
4706130,223892,1025110,0.133333333,Beginner
4715170,220826,1116406,0.066666667,Beginner
4718400,212235,1059043,0.6,Learner
4720136,217579,1768552,0.133333333,Beginner
4723472,224568,1080500,0.533333333,Learner
4724331,211209,1098623,0.233333333,Beginner
4724667,215292,1084477,0.4,Beginner
4725686,211728,1004871,0.2,Beginner
4734210,220076,1131065,0.4,Beginner
4737242,212460,1752628,0.766666667,Skilled
4739837,212460,1752628,0.7,Skilled
4741725,213484,1160679,0.9,Expert
4750791,219934,1168284,0.233333333,Beginner
4754811,211565,1077110,0.666666667,Skilled
4754877,211565,1077110,0.566666667,Learner
4755631,211389,1090466,0.4,Beginner
4755711,218108,1100970,0.7,Skilled
4761689,213085,1006229,0.466666667,Learner
4766511,211407,1010926,0.233333333,Beginner
4770691,213591,1738108,0.7,Skilled
4776822,213386,1073399,0.766666667,Skilled
4777794,213486,1008313,0.233333333,Beginner
4780482,220670,1159442,0.3,Beginner
4800008,216056,1234626,0.9,Expert
4801725,213794,1181469,0.533333333,Learner
4804072,220077,1769214,0.866666667,Expert
4805895,505997,1529260,0.2,Beginner
4809907,222778,1172649,0,Beginner
4811185,221729,1782985,0.466666667,Learner
4827996,214405,1771211,0.5,Learner
4828184,214405,1771211,0.533333333,Learner
4830425,224500,1741837,0.866666667,Expert
4830840,214053,1775923,0.866666667,Expert
4831313,220182,1782328,0.433333333,Learner
4835124,213256,1012791,0.9,Expert
4842360,214127,1562975,0.566666667,Learner
4846543,215490,1036797,0.1,Beginner
4848189,213918,1753316,0.133333333,Beginner
4849992,215241,1110934,0.8,Skilled
4850117,215241,1110934,0.633333333,Learner
4862597,215799,1079292,0.8,Skilled
4869088,220089,1536987,0.666666667,Skilled
4872875,211348,1782526,0.566666667,Learner
4893850,215530,1154458,0.433333333,Learner
4896615,211177,1139894,0.333333333,Beginner
4899227,220045,1249449,0.866666667,Expert
4905337,212372,1151195,0.633333333,Learner
4906421,213219,1003242,0.466666667,Learner
4907696,214787,1056444,0.633333333,Learner
4908329,213857,1129852,0.566666667,Learner
4908413,220089,1536987,0.833333333,Expert
4908597,220089,1536987,0.433333333,Learner
4909473,220089,1536987,0.7,Skilled
4910606,222225,1239311,0.266666667,Beginner
4916712,212674,1250373,1,Master
4917205,211535,1740020,0.833333333,Expert
4920256,222635,1779048,0.9,Expert
4924840,217628,1253615,0.566666667,Learner
4938014,220962,1257735,0.8,Skilled
4942054,224568,1080500,0.2,Beginner
4953224,212862,1175402,0.7,Skilled
4957491,216566,1758145,0.633333333,Learner
4959656,211172,1773508,0.666666667,Skilled
4960432,221333,1775586,0.266666667,Beginner
4961731,404940,1444802,0.733333333,Skilled
4962357,227196,1777640,0.7,Skilled
4971118,223899,1171765,0.4,Beginner
4971250,223899,1171765,0.533333333,Learner
4975089,224790,1771029,0.3,Beginner
4975948,216657,1254235,0.6,Learner
4979714,222834,1019715,0.466666667,Learner
4988882,222435,1772404,0.8,Skilled
4991445,223676,1185167,0,Beginner
4993180,215554,1015819,0.766666667,Skilled
4999398,223676,1185167,0.2,Beginner
5007254,219723,1049903,0.033333333,Beginner
5017752,215079,1206630,0.6,Learner
5017800,217078,1751896,0.766666667,Skilled
5019849,221484,1226842,0.566666667,Learner
5020370,219934,1168284,0.266666667,Beginner
5030619,214475,1254942,0.2,Beginner
5035458,214376,1047695,0.1,Beginner
5041738,214534,1740343,0.533333333,Learner
5042649,213103,1015710,0.666666667,Skilled
5052988,214388,1252432,0.3,Beginner
5061851,221395,1737348,0.333333333,Beginner
5072595,217748,1078247,0.266666667,Beginner
5105037,221166,1048155,0.6,Learner
5113981,223676,1185167,0.233333333,Beginner
5123400,223913,1249071,0.333333333,Beginner
5124262,211741,1183702,0.783333333,Skilled
5127717,214423,1782817,0.733333333,Skilled
5131953,217970,1148225,0.266666667,Beginner
5134315,501267,1533433,0,Beginner
5140983,213445,1069543,0.933333333,Expert
5145204,211578,1018137,0.7,Skilled
5145671,214537,1753319,0.166666667,Beginner
5146702,225355,1251146,0.2,Beginner
5147167,221015,1748381,0.266666667,Beginner
5151773,215356,1233150,0.4,Beginner
5152082,215356,1052314,0.266666667,Beginner
5152832,216546,1142514,0.6,Learner
5155216,213792,1228291,0.766666667,Skilled
5156359,220423,1253797,0.566666667,Learner
5160363,220492,1166916,0.9,Expert
5163532,218568,1252337,0.933333333,Expert
5164459,212535,1255520,0.833333333,Expert
5166661,216546,1142514,0.733333333,Skilled
5166705,412786,1522399,0.7,Skilled
5166771,214853,1262357,0.633333333,Learner
5171645,212297,1030556,0.7,Skilled
5177333,223129,1138004,0.233333333,Beginner
5186413,224968,1683485,0.233333333,Beginner
5187071,221638,1204380,0.666666667,Skilled
5187147,224694,1758538,0.2,Beginner
5189875,225028,1203780,0.733333333,Skilled
5195208,222595,1131430,0.633333333,Learner
5202997,214686,1135723,0.3,Beginner
5214931,478586,1516422,0.5,Learner
5216718,224215,1163693,0.6,Learner
5218577,221577,1021633,0.633333333,Learner
5218726,212705,1097025,0.166666667,Beginner
5219615,224975,1784497,0.533333333,Learner
5219773,224975,1784497,0.666666667,Skilled
5220884,217879,1144588,0.6,Learner
5226257,215453,1269857,0.833333333,Expert
5226402,225235,1256696,0.8,Skilled
5228218,222995,1089641,0.8,Skilled
5229345,223115,1093895,0.266666667,Beginner
5231408,215319,1748409,0.133333333,Beginner
5234724,223966,1687518,0.4,Beginner
5235124,224730,1184896,0.6,Learner
5243699,217657,1143934,0.533333333,Learner
5247632,212352,1240404,0.4,Beginner
5257068,213314,1106111,0.1,Beginner
5257624,484858,1561716,0.433333333,Learner
